time,1,smooth
2022-01-01 00:04:34,72.09,58.35393333333334
2022-01-01 00:04:35,72.55,58.354533333333336
2022-01-01 00:04:36,72.34,58.355399999999996
2022-01-01 00:04:37,71.69,58.356500000000004
2022-01-01 00:04:38,70.9,58.3578
2022-01-01 00:04:39,70.15,58.359300000000005
2022-01-01 00:04:40,69.51,58.36083333333333
2022-01-01 00:04:41,68.93,58.36223333333333
2022-01-01 00:04:42,68.32,58.36336666666667
2022-01-01 00:04:43,67.61,58.36433333333333
2022-01-01 00:04:44,66.79,58.36506666666667
2022-01-01 00:04:45,65.88,58.36580000000001
2022-01-01 00:04:46,65.0,58.3666
2022-01-01 00:04:47,64.2,58.36743333333333
2022-01-01 00:04:48,63.5,58.368233333333336
2022-01-01 00:04:49,62.87,58.3689
2022-01-01 00:04:50,62.28,58.36933333333333
2022-01-01 00:04:51,61.7,58.36963333333333
2022-01-01 00:04:52,61.09,58.3698
2022-01-01 00:04:53,60.43,58.3699
2022-01-01 00:04:54,59.7,58.370099999999994
2022-01-01 00:04:55,58.76,58.37023333333333
2022-01-01 00:04:56,57.42,58.37023333333333
2022-01-01 00:04:57,55.66,58.369899999999994
2022-01-01 00:04:58,54.18,58.369233333333334
2022-01-01 00:04:59,53.91,58.36833333333333
2022-01-01 00:05:00,55.07,58.3675
2022-01-01 00:05:01,56.95,58.36676666666666
2022-01-01 00:05:02,58.63,58.36606666666667
2022-01-01 00:05:03,59.49,58.36526666666666
2022-01-01 00:05:04,59.46,58.36433333333333
2022-01-01 00:05:05,58.85,58.3631
2022-01-01 00:05:06,58.14,58.361599999999996
2022-01-01 00:05:07,57.78,58.360166666666665
2022-01-01 00:05:08,57.99,58.35936666666666
2022-01-01 00:05:09,58.64,58.3594
2022-01-01 00:05:10,59.46,58.36083333333333
2022-01-01 00:05:11,60.13,58.365766666666666
2022-01-01 00:05:12,60.44,58.37610000000001
2022-01-01 00:05:13,60.37,58.3909
2022-01-01 00:05:14,60.01,58.405833333333334
2022-01-01 00:05:15,59.55,58.41663333333333
2022-01-01 00:05:16,59.16,58.421166666666664
2022-01-01 00:05:17,58.9,58.42053333333333
2022-01-01 00:05:18,58.69,58.41753333333334
2022-01-01 00:05:19,58.45,58.41503333333334
2022-01-01 00:05:20,58.14,58.414766666666665
